('﻿ilkid', 'firstname', 'lastname', year, 'team', gp, minutes, pts, dreb, oreb, reb, asts, stl, blk, turnover),
('PERKISA01 ', 'Sam', 'Perkins', 1999, 'IND', 23, 417, 110, 56, 17, 73, 10, 4, 6, 8),
('PERSOCH01 ', 'Chuck', 'Person', 1999, 'SEA', 2, 2, 0, 0, 0, 0, 0, 0, 0, 0),
('PIPPESC01 ', 'Scottie', 'Pippen', 1999, 'POR', 16, 614, 239, 92, 22, 114, 69, 32, 7, 37),
('POLLASC01 ', 'Scot', 'Pollard', 1999, 'SAC', 5, 70, 20, 10, 6, 16, 1, 2, 1, 3),
('POLYNOL01 ', 'Olden', 'Polynice', 1999, 'UTA', 10, 260, 59, 42, 24, 66, 5, 3, 8, 13),
('PORTETE01 ', 'Terry', 'Porter', 1999, 'SAS', 4, 89, 20, 1, 0, 1, 5, 6, 0, 7),
('RATLITH01 ', 'Theo', 'Ratliff', 1999, 'PHI', 10, 374, 130, 51, 28, 79, 9, 10, 30, 17),
('RICEGL01  ', 'Glen', 'Rice', 1999, 'LAL', 23, 766, 285, 82, 10, 92, 48, 15, 4, 36),
('ROBINCL02 ', 'Clifford R. ', 'Robinson', 1999, 'PHO', 9, 333, 158, 36, 18, 54, 19, 11, 7, 18),
('ROBINDA01 ', 'David', 'Robinson', 1999, 'SAS', 4, 155, 94, 38, 17, 55, 10, 7, 12, 8),
('ROBINED01 ', 'Eddie', 'Robinson', 1999, 'CHA', 4, 45, 12, 2, 1, 3, 4, 2, 1, 1),
('ROBINGL01 ', 'Glenn', 'Robinson', 1999, 'MIL', 5, 174, 77, 21, 0, 21, 13, 8, 4, 15),
('ROGERRO01 ', 'Rodney', 'Rogers', 1999, 'PHO', 9, 263, 127, 45, 16, 61, 14, 10, 10, 15),
('ROSEJA01  ', 'Jalen', 'Rose', 1999, 'IND', 23, 964, 479, 91, 10, 101, 78, 16, 11, 50),
('ROSEMA01  ', 'Malik', 'Rose', 1999, 'SAS', 4, 83, 21, 14, 5, 19, 1, 2, 3, 7),
('RUSSEBR01 ', 'Bryon', 'Russell', 1999, 'UTA', 10, 371, 140, 43, 9, 52, 21, 16, 5, 15),
('SABONAR01 ', 'Arvydas', 'Sabonis', 1999, 'POR', 16, 493, 181, 88, 19, 107, 31, 14, 13, 26),
('SALLEJO01 ', 'John', 'Salley', 1999, 'LAL', 18, 78, 17, 13, 9, 22, 4, 1, 6, 4),
('SCHREDE01 ', 'Detlef', 'Schrempf', 1999, 'POR', 15, 276, 84, 43, 10, 53, 30, 4, 0, 15),
('SEALYMA01 ', 'Malik', 'Sealy', 1999, 'MIN', 4, 122, 50, 13, 5, 18, 5, 2, 0, 8),
('SHAWBR01  ', 'Brian', 'Shaw', 1999, 'LAL', 22, 408, 119, 44, 7, 51, 67, 11, 4, 17),
('SMITHJO01 ', 'Joe', 'Smith', 1999, 'MIN', 4, 79, 18, 5, 7, 12, 1, 3, 1, 4),
('SMITHST01 ', 'Steve', 'Smith', 1999, 'POR', 16, 604, 274, 27, 13, 40, 44, 19, 4, 27),
('SMITSRI01 ', 'Rik', 'Smits', 1999, 'IND', 22, 461, 241, 54, 24, 78, 21, 10, 20, 27),
('SNOWER01  ', 'Eric', 'Snow', 1999, 'PHI', 5, 138, 37, 10, 0, 10, 35, 4, 1, 7),
('SPREWLA01 ', 'Latrell', 'Sprewell', 1999, 'NYK', 16, 700, 299, 58, 12, 70, 58, 18, 5, 37),
('STACKJE01 ', 'Jerry', 'Stackhouse', 1999, 'DET', 3, 120, 74, 11, 1, 12, 10, 2, 0, 14),
('STOCKJO01 ', 'John', 'Stockton', 1999, 'UTA', 10, 350, 112, 23, 7, 30, 103, 13, 2, 26),
('STOJAPR01 ', 'Peja', 'Stojakovic', 1999, 'SAC', 5, 129, 44, 15, 2, 17, 3, 4, 0, 5),
('STOUDDA01 ', 'Damon', 'Stoudamire', 1999, 'POR', 16, 447, 142, 34, 8, 42, 58, 8, 4, 19),
('STRICMA01 ', 'Mark', 'Strickland', 1999, 'MIA', 1, 10, 2, 0, 0, 0, 0, 2, 0, 1),
('SZCZEWA01 ', 'Wally', 'Szczerbiak', 1999, 'MIN', 4, 94, 24, 6, 2, 8, 2, 3, 1, 1),
('TABAKZA01 ', 'Zan', 'Tabak', 1999, 'IND', 10, 47, 12, 12, 4, 16, 0, 0, 2, 1),
('THOMAJO01 ', 'John', 'Thomas', 1999, 'TOR', 1, 1, 0, 0, 0, 0, 0, 0, 0, 0),
('THOMAKU01 ', 'Kurt', 'Thomas', 1999, 'NYK', 16, 251, 69, 32, 18, 50, 5, 3, 6, 14),
